"year","month","x","y"
2011,3,651,41.243269369714
2011,4,652,41.9470318401405
2011,5,653,39.7489066644708
2011,6,654,42.2436091567852
2011,7,655,41.7195391325598
2011,8,656,41.3672942154464
2011,9,657,43.4412923391524
2011,10,658,42.9308835267117
2011,11,659,33.0860532636144
2011,12,660,38.711454040404
2012,1,661,36.0789547385398
2012,2,662,42.8472639657444
2012,3,663,43.0018843236007
2012,4,664,52.4591506368028
2012,5,665,56.406421480818
2012,6,666,42.9032756916996
2012,7,667,43.3090376344086
2012,8,668,34.3511134725446
2012,9,669,37.131092546395
2012,10,670,32.6171848145191
2012,11,671,40.76357027267
2012,12,672,37.3844913836164
2013,1,673,40.9476979296066
2013,2,674,45.297652381943
2013,3,675,46.5638352524804
2013,4,676,48.3453780820629
2013,5,677,47.2343550275482
2013,6,678,41.3338965047298
2013,7,679,33.1277960708062
2013,8,680,37.1026177657924
2013,9,681,44.105619949495
2013,10,682,32.6431978622126
2013,11,683,33.7812879140787
2013,12,684,39.7831701800615
2014,1,685,40.6202040035701
2014,2,686,32.4623645051894
2014,3,687,45.203465945029
2014,4,688,58.3796235315108
2014,5,689,51.986565375982
2014,6,690,41.9750408981116
2014,7,691,32.8923165030388
2014,8,692,38.5271445221445
2014,9,693,32.4648999231445
2014,10,694,31.8640701368524
2014,11,695,35.6559121494448
2014,12,696,44.9192800076735
2015,1,697,39.3289919354839
2015,2,698,37.6517261904762
2015,3,699,52.7513136979897
2015,4,700,51.4643903048476
2015,5,701,56.9098665686471
2015,6,702,41.2529692460317
2015,7,703,31.6696102150538
2015,8,704,19.9541935483871
2015,9,705,24.3198361111111
2015,10,706,35.0452956989247
2015,11,707,35.6877222222222
2015,12,708,46.1499704301075
2016,1,709,47.69
2016,2,710,46.7349856321839
2016,3,711,47.7876992753623
2016,4,712,58.3374172705314
2016,5,713,51.5510156615241
2016,6,714,40.6607638888889
2016,7,715,35.1152028651573
2016,8,716,29.5440972222222
2016,9,717,30.3473482008995
2016,10,718,37.304610799439
2016,11,719,44.9028588054458
2016,12,720,34.9356224747475
2017,1,721,40.0945237260402
2017,2,722,42.2869287008282
2017,3,723,41.6709256661992
2017,4,724,52.9934528546333
2017,5,725,51.0052951145395
2017,6,726,45.0471009144237
2017,7,727,39.9233629032258
2017,8,728,39.3861950677887
2017,9,729,35.0949159000722
2017,10,730,34.8596996259935
2017,11,731,40.2532736605182
2017,12,732,43.5389308937906
2018,1,733,39.4812319763293
2018,2,734,30.4698180567168
2018,3,735,38.9592214015531
2018,4,736,36.5525061667399
2018,5,737,41.6667984103997
2018,6,738,41.5082795344752
2018,7,739,33.7489228717753
2018,8,740,31.5198394293615
2018,9,741,28.8214105182257
2018,10,742,29.0809904707931
2018,11,743,44.174742359522
2018,12,744,43.7021475272916
2019,1,745,45.5425887681159
2019,2,746,43.3784460958296
2019,3,747,51.9578062178588
2019,4,748,49.2138623737374
2019,5,749,47.4073732718894
2019,6,750,38.2832638888889
2019,7,751,30.5079793198464
2019,8,752,29.6503010752688
2019,9,753,29.3129187527448
2019,10,754,35.6367142857143
2019,11,755,38.1739390096618
2019,12,756,39.2036802261748
2020,1,757,40.5894947979192
2020,2,758,46.6832206056063
2020,3,759,42.7849268115942
2020,4,760,51.2990869016249
2020,5,761,50.7683689808322
2020,6,762,44.0997578502415
2020,7,763,34.8618528684966
2020,8,764,37.7255859714152
2020,9,765,36.3683345410628
2020,10,766,30.5611962365591
2020,11,767,34.9626661835749
2020,12,768,34.7412114920893
2021,1,769,37.1663087469423
2021,2,770,39.2444798136646
2021,3,771,39.0735871212121
2021,4,772,53.4882909456926
2021,5,773,45.3888978494624
2021,6,774,40.1620990338164
2021,7,775,38.3069957746517
2021,8,776,37.1810080645161
2021,9,777,38.8060277777778
2021,10,778,38.1031393174381
2021,11,779,38.7683260869565
2021,12,780,35.3865029761905
